"id","overall","likes","dislikes"
"0","","Nourrir parfaitement le cheveux en laissant un film protecteur et une bonne odeur ",""
"1","Bon shampooing à petit prix ","- petit prix  - lave bien  - ne dessèche pas trop les cheveux ","- j'apprécie moyennement l'odeur "
"2","Shampoing très bien, excellent rapport qualité / prix","",""
"3","","ce produit est juste EXCELLENT ! je l'utilise depuis 2 ans , rien à dire! ",""
"4","Tient ses promesses","",""
"5","Ayant les cheveux qui régressent très vite, je déconseille quand même ce produit même si celui si est sans doute très bien pour les cheveux secs car il contient de l'huile d'argan, c'est donc un shampoing ""réparateur"" pour les cheveux. Sinon il dégage une très bonne odeur.","",""
"6","Je ne recommanderais pas !","","Ne m'a pas adoucit les cheveux Fait énormément de pellicules !"
"7","À long terme, la rinçabilité décroît","Accessibilité, prix, utile quand utilisé en plus de l'après shampoing et masque (une fois par semaine) ",""
"8","","j'aime trop l'odeur ","je sens que l'effet du produit ça dure pas trop sur les cheveux "
"9","","les cheveux sont ré hydratés , plus souples, plus beaux ! je l'utilise depuis deux mois et je suis ravie !",""
"10","très bon produit à l'odeur hyper agréable ","l'odeur  la texture","le parfum ne reste pas longtemps"
"11","Le petit marseillais est ma première marque de shampooing à usage quotidien. La texture du shampooing permet un rinçage sans résidu de produit sur les cheveux. Ce qui permet aux cheveux d'être plus soyeux ","",""
"12","J'adore son parfum gourmand et très doux pour les cheveux sec fini les cheveux qui ressemble a de la paille","J'adore son parfum","Aucun"
"13","","Bon gel douche nourrissant  Odeur agréable  Convient aux peaux sèches ","Aucun"
"14","","","Un après-shampoing est quand même préférable pour bien hydrater le cheveux et les pointes."
"15","Petit prix et meilleur efficacité que bien d'autres concurrents 2 fois plus chers. J'ai les cheveux secs et ondulés et cette gamme leur fait beaucoup de bien! ","Lave bien sans décaper, se rince facilement. Odeur sublime! Très efficace combiné au masque de la même gamme.","-"
"16","","Prix  Rend les cheveux doux ","À force d'utilisation les cheveux deviennent gras rapidement "
"17","Shampooing très agréable comme presque tous les shampoing Le Petit Marseillais que j'aime beaucoup","son prix",""
"18","","odeur agréable efficacité  prix  texture",""
"19","J'ai beaucoup aimé utiliser ce shampooing, l'odeur était bonne et restait sur mes cheveux, ce qui était vachement agréable.  Il lave très bien les cheveux, sans les alourdir et hydrate convenablement en combo avec l'après-shampooing de la même gamme !  Je rachèterai très probablement ! ","- Bonne odeur  - Lave correctement les cheveux - N'alourdit pas le cheveux  - Prix  - Hydrate assez bien en combo avec son après-shampooing  - Odeur qui reste sur les cheveux  ","-"
"20","J'aime beaucoup la gamme petit marseillais et celui la à l'huile d'argan et Karité est super pour les cheveux sec et terne comme les miens ","L'Odeur ",""
"21","","odeur au top",""
"22","","Odeur",""
"23","J'ai été agréablement surprise par ce shampoing. Il nettoie bien, sans assécher ni le cuir chevelu ni les cheveux. Il n'a pas non plus d'effet ""gras"" ou alourdissant, il se rince bien et mes cheveux regraissent tout aussi lentement qu'avec un autre shampoing. Je recommande !","- nettoie bien le cuir chevelu - n'assèche pas les cheveux - n'alourdit pas les cheveux","RAS (compo perfectible dans l'idéal, mais pas mauvaise pour de la grande surface)"
"24","","Il sent bon, nettoie bien les cheveux et surtout évite que les cheveux ne s'abîment trop au soleil. Dommage que je n'arrive pas à le trouver dans le pays où je vis actuellement mais j'en profite au maximum pendant mes vacances !","Avec un après-shampoing intégré, ce serait parfait et pratique !"
"25","","bonne odeur","ce shampoing n'a pas convenus à mes cheveux bouclés! Il m'a desséché le cuir chevelu, ça me démangeais et me brûlais, beaucoup trop agressif."
"26","","il m'hydrate bien les cheveux et sent très bon","j'ai le cheveux roux et se produit me les à foncé et il faut se laver les cheveux tous les 2 jours voir tous les jours"
"27","J'utilise ce shapoing pour ma fille qui a les cheveux bouclés (et pas crépus) obligé d'avoir un après shampoing pour demeler, je ne ressens pas du tout la presence d'huile. les boucles sont toujours brouillons, je dois rajouter de l'huile de piqui dessus","- odeur - lave parfaitement ","- ne tient pas ses promesses: cheveux tjs aussi secs et boucles pas mieux dessinées - cheveux qui crissent trop après lavage, lavage très aggressif"
"28","J'ai été agréablement surprise par ce shampoing. Il lave très bien et laisse mes cheveux crépus très doux.","Extrêmement doux",""
"29","un shampoing pas assez nourrissant pour les personnes qui ont les cheveux secs à très secs","le cheveu est parfaitement lavé , pas besoin d'un 2 ème shampoing l'odeur du shampoing sent bon","pour mes cheveux qui sont secs, ce shampoing ne les nourrit pas assez, je suis obligée d'appliquer un après shampoing ou un masque après pour qu'ils soient vraiment nourrit profondément"
"30","","- L'odeur  - Le prix ","- Cheveux difficile à coiffer après la douche  - Manque d'efficacité "
"31","Tres bon rapport qualité/prix","Douceur et odeur ","Effet contre la sécheresse capillaire a améliorer"
